Date,AAPL,AXP,BA,CAT,CSCO,CVX,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,RTX,TRV,TSLA,UNH,V,VZ,WBA,WMT,XOM
2015-01-02,24.67824935913086,83.11097717285156,113.6572265625,73.95917510986328,22.029037475585938,80.98529052734375,,172.04449462890625,87.87374877929688,112.17809295654297,29.616636276245117,85.4192886352539,51.20441436767578,33.30490493774414,77.01637268066406,131.34002685546875,43.46016311645508,41.01331329345703,44.005409240722656,22.59564208984375,72.73027038574219,60.36914825439453,89.02391052246094,43.86199951171875,90.11601257324219,62.994808197021484,33.484619140625,61.49982833862305,72.84114837646484,65.35639953613281
2015-01-05,23.98302459716797,80.91303253173828,112.87004852294922,70.05514526367188,21.590211868286133,77.74816131591797,,166.67279052734375,86.03013610839844,110.41294860839844,29.282672882080078,84.82272338867188,49.61478042602539,33.30490493774414,76.1657943725586,128.37794494628906,44.106101989746094,40.636165618896484,43.296905517578125,22.47303581237793,72.38446807861328,59.36160659790039,87.9516372680664,42.018001556396484,88.63166809082031,61.6042594909668,33.206539154052734,60.28603744506836,72.62918090820312,63.56809997558594
2015-01-06,23.98528289794922,79.1886215209961,111.5406265258789,69.60440826416016,21.582231521606445,77.71221160888672,,163.3011016845703,85.76673889160156,108.03179931640625,28.736927032470703,84.40589141845703,48.328311920166016,33.557804107666016,76.30619049072266,127.00896453857422,45.83873748779297,40.039730072021484,43.042232513427734,22.660558700561523,72.05477142333984,58.52196502685547,87.16643524169922,42.25600051879883,88.45280456542969,61.207313537597656,33.541683197021484,60.439796447753906,73.18882751464844,63.23016357421875
2015-01-07,24.32160758972168,80.9181137084961,113.27239990234375,70.68301391601562,21.781694412231445,77.6474380493164,,165.73472595214844,88.70635986328125,107.32572937011719,29.33968734741211,86.26925659179688,48.40206527709961,33.9766960144043,77.63575744628906,127.9296646118164,46.81904220581055,40.548439025878906,43.93132019042969,22.970674514770508,72.43273162841797,59.15694046020508,88.65241241455078,42.189998626708984,89.35596466064453,62.02737045288086,33.32522964477539,61.98537826538086,75.13067626953125,63.87085723876953
2015-01-08,25.2560977935791,82.06510162353516,115.2752685546875,71.40750122070312,21.94925308227539,79.42426300048828,,168.38075256347656,90.6689224243164,109.65848541259766,29.88543128967285,86.94757080078125,49.48366928100586,34.387672424316406,77.9247817993164,130.99581909179688,47.761348724365234,41.741310119628906,44.945430755615234,23.439468383789062,73.26103973388672,60.164493560791016,90.49302673339844,42.124000549316406,93.62120819091797,62.859317779541016,34.03948974609375,62.75412368774414,76.71641540527344,64.93396759033203
2015-01-09,25.283185958862305,81.025634765625,115.04788208007812,70.5542221069336,22.172651290893555,77.8416748046875,,165.7966766357422,89.11418914794922,110.1360855102539,29.942447662353516,85.76255798339844,48.623294830322266,34.00830841064453,76.97509002685547,129.38665771484375,47.54096603393555,41.390472412109375,44.449947357177734,23.54764747619629,72.57746887207031,59.833892822265625,89.35320281982422,41.332000732421875,92.74492645263672,61.92753601074219,33.7364616394043,61.23280334472656,75.76667022705078,64.84242248535156
2015-01-12,24.660192489624023,80.20121765136719,114.46186828613281,69.94247436523438,22.380096435546875,76.16560363769531,,163.77896118164062,88.71485900878906,108.28787994384766,29.81211280822754,85.46833801269531,48.20539855957031,33.700077056884766,76.8099365234375,128.68215942382812,47.343379974365234,40.87297821044922,44.38975524902344,23.63419532775879,72.31209564208984,60.059547424316406,88.82128143310547,40.44200134277344,91.69874572753906,61.806297302246094,33.96734619140625,61.257102966308594,76.33479309082031,63.596282958984375
2015-01-13,24.8791446685791,79.95928955078125,114.7242660522461,69.5239028930664,22.41998863220215,74.9570541381836,,163.6551055908203,88.12863159179688,108.54401397705078,29.73066520690918,85.61544799804688,48.21359634399414,33.692161560058594,76.66129302978516,128.58607482910156,47.25979995727539,40.6624755859375,43.99614715576172,23.39619255065918,72.61769104003906,60.00180435180664,88.95635986328125,40.849998474121094,92.16368865966797,61.986968994140625,34.03948974609375,60.90103530883789,75.73274993896484,63.36396408081055
2015-01-14,24.784339904785156,78.02369689941406,114.0333251953125,69.28238677978516,22.276371002197266,74.74124908447266,,159.49575805664062,87.20256805419922,107.84490966796875,29.608476638793945,84.99433135986328,46.55021286010742,33.6368522644043,75.59597778320312,127.96165466308594,47.60176086425781,40.31163024902344,43.39414978027344,23.42504119873047,72.3683853149414,59.57149124145508,87.6139144897461,38.53799819946289,92.39618682861328,60.74616241455078,33.887977600097656,60.68254089355469,73.44320678710938,63.18088150024414
2015-01-15,24.111682891845703,76.95733642578125,113.82337951660156,68.43026733398438,21.86946678161621,73.85643005371094,,157.95596313476562,85.81771087646484,106.99349212646484,29.478151321411133,83.76028442382812,45.05889892578125,33.49458694458008,75.46383666992188,127.81753540039062,47.02422332763672,39.890625,42.977386474609375,23.36734962463379,72.26384735107422,59.57149124145508,87.98542022705078,38.374000549316406,93.40663146972656,60.16856002807617,33.98176574707031,60.512630462646484,74.09615325927734,62.631736755371094
2015-01-16,23.92433738708496,77.10071563720703,114.3831558227539,68.05696868896484,22.08489227294922,75.6188735961914,,156.8408966064453,88.45996856689453,108.77246856689453,29.689929962158203,85.02702331542969,45.829132080078125,33.613136291503906,75.55467224121094,129.6908721923828,47.898136138916016,40.55723190307617,43.06074905395508,23.655826568603516,73.38163757324219,60.9516487121582,89.95266723632812,38.61399841308594,94.5780029296875,60.60116958618164,34.62389373779297,61.524131774902344,73.57886505126953,64.15248107910156
